variant,algo,train_seed,eval_mode,episode,seed,return_total,steps,terminated,truncated,termination_reason,animal_status,is_success,animal_lost,battery_depleted,final_battery,battery_spent,barriers_installed,effective_barriers_installed,pickup_step,delivery_step
tuned,a2c,42,deterministic,0,50000,-38.0,58,True,False,success,saved,True,False,False,85,15,0,0,5,58
tuned,a2c,42,deterministic,1,50001,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,deterministic,2,50002,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,deterministic,3,50003,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,4,50004,-72.0,92,True,False,success,saved,True,False,False,85,15,0,0,5,92
tuned,a2c,42,deterministic,5,50005,-29.0,49,True,False,success,saved,True,False,False,85,15,0,0,5,49
tuned,a2c,42,deterministic,6,50006,-5.0,25,True,False,success,saved,True,False,False,85,15,0,0,5,25
tuned,a2c,42,deterministic,7,50007,-3.0,23,True,False,success,saved,True,False,False,85,15,0,0,5,23
tuned,a2c,42,deterministic,8,50008,-18.0,38,True,False,success,saved,True,False,False,85,15,0,0,5,38
tuned,a2c,42,deterministic,9,50009,-6.0,26,True,False,success,saved,True,False,False,85,15,0,0,5,26
tuned,a2c,42,deterministic,10,50010,-53.0,73,True,False,success,saved,True,False,False,85,15,0,0,5,73
tuned,a2c,42,deterministic,11,50011,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,12,50012,-7.0,27,True,False,success,saved,True,False,False,85,15,0,0,5,27
tuned,a2c,42,deterministic,13,50013,-39.0,59,True,False,success,saved,True,False,False,85,15,0,0,5,59
tuned,a2c,42,deterministic,14,50014,-40.0,60,True,False,success,saved,True,False,False,85,15,0,0,5,60
tuned,a2c,42,deterministic,15,50015,5.0,15,True,False,success,saved,True,False,False,85,15,0,0,5,15
tuned,a2c,42,deterministic,16,50016,-31.0,51,True,False,success,saved,True,False,False,85,15,0,0,5,51
tuned,a2c,42,deterministic,17,50017,-24.0,44,True,False,success,saved,True,False,False,85,15,0,0,5,44
tuned,a2c,42,deterministic,18,50018,-60.0,80,True,False,success,saved,True,False,False,85,15,0,0,5,80
tuned,a2c,42,deterministic,19,50019,-100.0,100,False,True,max_steps,with_robot,False,False,False,86,14,0,0,5,
tuned,a2c,42,deterministic,20,50020,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,deterministic,21,50021,-20.0,40,True,False,success,saved,True,False,False,85,15,0,0,5,40
tuned,a2c,42,deterministic,22,50022,-41.0,61,True,False,success,saved,True,False,False,85,15,0,0,5,61
tuned,a2c,42,deterministic,23,50023,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,24,50024,-23.0,43,True,False,success,saved,True,False,False,85,15,0,0,5,43
tuned,a2c,42,deterministic,25,50025,-22.0,42,True,False,success,saved,True,False,False,85,15,0,0,5,42
tuned,a2c,42,deterministic,26,50026,-71.0,91,True,False,success,saved,True,False,False,85,15,0,0,5,91
tuned,a2c,42,deterministic,27,50027,-8.0,28,True,False,success,saved,True,False,False,85,15,0,0,5,28
tuned,a2c,42,deterministic,28,50028,-26.0,46,True,False,success,saved,True,False,False,85,15,0,0,5,46
tuned,a2c,42,deterministic,29,50029,-67.0,87,True,False,success,saved,True,False,False,83,17,0,0,5,87
tuned,a2c,42,deterministic,30,50030,-34.0,54,True,False,success,saved,True,False,False,85,15,0,0,5,54
tuned,a2c,42,deterministic,31,50031,-58.0,78,True,False,success,saved,True,False,False,85,15,0,0,5,78
