variant,algo,seed,eval_mode,return_mean,success_rate,animal_lost_rate,truncated_rate,battery_depleted_rate,battery_spent_mean,steps_to_success_mean,effective_barriers_installed_mean,barriers_installed_mean,stall_step_rate,stalled_episode_rate
tuned,a2c,42,deterministic,-38.49,0.89,0.0,0.11,0.0,15.03,50.8876404494382,0.0,0.0,0.7354769941375022,0.96
tuned,a2c,42,stochastic,-37.34,0.91,0.0,0.09,0.0,15.09,51.142857142857146,0.0,0.0,0.7315448325531149,0.96
tuned,a2c,123,deterministic,3.95,0.99,0.0,0.01,0.0,14.99,15.0,0.0,0.0,0.05425867507886435,0.01
tuned,a2c,123,stochastic,3.95,0.99,0.0,0.01,0.0,14.99,15.0,0.0,0.0,0.05425867507886435,0.01
tuned,a2c,2024,deterministic,3.95,0.99,0.0,0.01,0.0,15.06,15.0,0.0,0.0,0.05867507886435331,0.01
tuned,a2c,2024,stochastic,3.89,0.99,0.0,0.01,0.0,15.24,15.06060606060606,0.0,0.01,0.06096794468887492,0.01
tuned,a2c,7,deterministic,4.99,1.0,0.0,0.0,0.0,15.15,15.01,0.0,0.01,0.0,0.0
tuned,a2c,7,stochastic,4.99,1.0,0.0,0.0,0.0,15.15,15.01,0.0,0.01,0.0,0.0
tuned,a2c,314,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
tuned,a2c,314,stochastic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,42,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,42,stochastic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,123,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,123,stochastic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,2024,deterministic,3.99,0.99,0.0,0.01,0.0,15.41,15.01010101010101,0.01,0.01,0.058638083228247165,0.01
default,a2c,2024,stochastic,3.99,0.99,0.0,0.01,0.0,15.58,15.01010101010101,0.01,0.02,0.058007566204287514,0.01
default,a2c,7,deterministic,4.95,1.0,0.0,0.0,0.0,15.9,15.1,0.01,0.06,0.0026490066225165563,0.0
default,a2c,7,stochastic,4.98,1.0,0.0,0.0,0.0,15.9,15.07,0.01,0.06,0.0006635700066357001,0.0
default,a2c,314,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
default,a2c,314,stochastic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
tuned,dqn,42,deterministic,12.39,1.0,0.0,0.0,0.0,45.17,17.11,1.9,1.91,0.011689070718877849,0.01
tuned,dqn,42,stochastic,6.34,1.0,0.0,0.0,0.0,44.23,20.21,1.31,1.75,0.07570509648688768,0.0
tuned,dqn,123,deterministic,8.28,0.99,0.0,0.01,0.0,32.67,16.282828282828284,1.12,1.13,0.05782710280373832,0.01
tuned,dqn,123,stochastic,4.2,1.0,0.0,0.0,0.0,40.43,20.5,0.94,1.47,0.0873170731707317,0.02
tuned,dqn,2024,deterministic,10.71,0.99,0.0,0.01,0.0,41.18,16.757575757575758,1.7,1.7,0.05173393973848778,0.01
tuned,dqn,2024,stochastic,5.19,0.99,0.0,0.01,0.0,40.07,19.555555555555557,1.15,1.53,0.1193516699410609,0.02
tuned,dqn,7,deterministic,9.49,0.99,0.0,0.01,0.0,36.84,16.525252525252526,1.41,1.42,0.05184331797235023,0.01
tuned,dqn,7,stochastic,6.18,1.0,0.0,0.0,0.0,38.67,19.57,1.15,1.39,0.06029637199795605,0.0
tuned,dqn,314,deterministic,3.95,0.99,0.0,0.01,0.0,15.18,15.0,0.0,0.01,0.05362776025236593,0.01
tuned,dqn,314,stochastic,1.86,1.0,0.0,0.0,0.0,23.29,18.19,0.01,0.43,0.058273776800439804,0.0
default,dqn,42,deterministic,5.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
