number,state,value,duration_seconds,datetime_start,datetime_complete,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,user_animal_lost_rate,user_battery_depleted_rate,user_battery_spent_mean,user_effective_barriers_installed_mean,user_eval_mode,user_final_return_mean,user_learning_curve_score,user_monitor,user_pickup_rate,user_return_mean,user_return_std,user_stall_step_rate,user_stalled_episode_rate,user_steps_mean,user_steps_to_success_mean,user_success_rate,user_tensorboard,user_total_timesteps,user_train_seed,user_truncated_rate
0,COMPLETE,4.14,193.898949,2026-09-20T14:13:13.989902,2026-09-20T14:16:27.888851,1e-08,1.0,0.99,0.0007,0.5,5,0.5,0.0,0.0,15.0,0.0,deterministic,4.18,4.14,results/logs/optuna/a2c/a2c_trial_0_seed_42.monitor.csv,1.0,4.18,5.798275605729689,0.051833122629582805,0.02,15.82,15.82,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
1,COMPLETE,-20.734999999999996,139.793038,2026-09-20T14:13:40.064617,2026-09-20T14:15:59.857655,0.00010662206249698575,0.877704198315702,0.9921485877596492,0.0008536123671035461,0.9997107873609121,50,0.6607915111548017,0.0,0.0,15.0,0.0,deterministic,5.0,-20.734999999999996,results/logs/optuna/a2c/a2c_trial_1_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
2,COMPLETE,-72.24499999999999,119.889297,2026-09-20T14:13:40.374761,2026-09-20T14:15:40.264058,3.509823028716441e-07,0.935716779713998,0.9151291074058223,6.215199394057784e-05,0.9681818432243361,50,0.9779447195234063,0.0,0.0,14.44,0.0,deterministic,-33.3,-72.24499999999999,results/logs/optuna/a2c/a2c_trial_2_seed_42.monitor.csv,1.0,-33.3,48.47690382111499,0.6920430107526881,0.44,46.5,18.939393939393938,0.66,results/logs/optuna/a2c/tensorboard,100000,42,0.34
3,COMPLETE,-82.745,137.383375,2026-09-20T14:15:40.513229,2026-09-20T14:17:57.896604,0.0008375474813597036,0.9348392656541232,0.912345082116439,6.332706300448909e-05,0.6206665273767186,50,0.5625977879340877,0.0,0.0,10.72,0.0,deterministic,-100.0,-82.745,results/logs/optuna/a2c/a2c_trial_3_seed_42.monitor.csv,1.0,-100.0,0.0,0.9068,1.0,100.0,,0.0,results/logs/optuna/a2c/tensorboard,100000,42,1.0
4,COMPLETE,-53.045,138.843891,2026-09-20T14:16:00.095230,2026-09-20T14:18:18.939121,3.538281895774278e-06,0.9258861193302362,0.9899504410116946,0.00012980066507209533,0.33752727069222876,100,0.95305248047395,0.0,0.0,14.94,0.0,deterministic,-12.06,-53.045,results/logs/optuna/a2c/a2c_trial_4_seed_42.monitor.csv,1.0,-12.06,24.004599899322017,0.5158781594296824,0.52,30.86,26.4468085106383,0.94,results/logs/optuna/a2c/tensorboard,100000,42,0.06
5,COMPLETE,-60.915,212.663345,2026-09-20T14:16:28.091969,2026-09-20T14:20:00.755314,0.00010637790493244864,0.9732352291549871,0.9058025528556032,8.468008575248323e-05,0.3144091460070617,5,0.7810544333470342,0.0,0.0,15.0,0.0,deterministic,4.18,-60.915,results/logs/optuna/a2c/a2c_trial_5_seed_42.monitor.csv,1.0,4.18,4.578966998735654,0.051833122629582805,0.04,15.82,15.82,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
6,PRUNED,-100.0,105.740599,2026-09-20T14:17:58.091247,2026-09-20T14:19:43.831846,4.398182653819081e-05,0.9310326591550088,0.9938872344130781,0.0010666505989599731,0.33782088708855057,100,0.7227116929916106,,,,,,,,,,,,,,,,,,,,
7,COMPLETE,-5.75,216.332611,2026-09-20T14:18:19.191638,2026-09-20T14:21:55.524249,1.2574147307916995e-08,0.8111667742110017,0.952935609515984,0.00285512964660138,0.3181810374758358,5,0.2531346496285488,0.0,0.0,14.9,0.0,deterministic,-5.56,-5.75,results/logs/optuna/a2c/a2c_trial_7_seed_42.monitor.csv,1.0,-5.56,31.801142323212613,0.367572156196944,0.1,23.56,15.066666666666666,0.9,results/logs/optuna/a2c/tensorboard,100000,42,0.1
8,COMPLETE,-71.3,194.966487,2026-09-20T14:19:44.022788,2026-09-20T14:22:58.989275,1.0025126517909097e-08,0.8064933585744476,0.9512303517037755,1.5361964378121963e-05,0.6291518107542888,5,0.2786836513074719,0.0,0.0,14.76,0.0,deterministic,-19.5,-71.3,results/logs/optuna/a2c/a2c_trial_8_seed_42.monitor.csv,1.0,-19.5,43.28936806832714,0.5794871794871795,0.24,35.1,16.794871794871796,0.78,results/logs/optuna/a2c/tensorboard,100000,42,0.22
9,PRUNED,-100.0,89.851429,2026-09-20T14:20:00.954055,2026-09-20T14:21:30.805484,1.3784288838867208e-08,0.803592375122964,0.9517519127330021,1.3204076186759884e-05,0.6830874817839642,5,0.2790438999708872,,,,,,,,,,,,,,,,,,,,
10,COMPLETE,-6.109999999999999,141.510942,2026-09-20T14:21:31.003921,2026-09-20T14:23:52.514863,0.021674592638667518,0.9978225861630973,0.9551163385710507,0.0024398096228267396,0.6040493902294879,20,0.2793298536688016,0.0,0.0,15.16,0.0,deterministic,5.0,-6.109999999999999,results/logs/optuna/a2c/a2c_trial_10_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
11,PRUNED,-100.0,48.084256,2026-09-20T14:21:55.719662,2026-09-20T14:22:43.803918,0.04587955523440925,0.9994504933531779,0.9601336017116818,1.3456823105462659e-05,0.5645918509837659,10,0.43735875746169645,,,,,,,,,,,,,,,,,,,,
12,PRUNED,-100.0,69.827386,2026-09-20T14:22:44.002983,2026-09-20T14:23:53.830369,0.04833670758347138,0.8583017624823701,0.9357242084520921,0.0002776859855639038,0.8100983753488592,20,0.4495312523270578,,,,,,,,,,,,,,,,,,,,
13,COMPLETE,-0.6050000000000001,134.240816,2026-09-20T14:22:59.127779,2026-09-20T14:25:13.368595,1.6827395408811237e-07,0.8595151263591734,0.9702103990135621,0.0025057098046312428,0.47394403708864813,20,0.44019934173069974,0.0,0.0,15.08,0.0,deterministic,5.0,-0.6050000000000001,results/logs/optuna/a2c/a2c_trial_13_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
14,COMPLETE,-9.52,218.747037,2026-09-20T14:23:52.770765,2026-09-20T14:27:31.517802,2.2871589793722088e-07,0.8526751293960793,0.9703854692127937,0.0004031233452610327,0.457810214431454,5,0.44829456490206776,0.0,0.0,15.0,0.0,deterministic,5.0,-9.52,results/logs/optuna/a2c/a2c_trial_14_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
15,COMPLETE,-5.68,200.474389,2026-09-20T14:23:54.031401,2026-09-20T14:27:14.505790,1.651795761042178e-07,0.8545285462885065,0.9719581431067398,0.0022833210625341953,0.45684299489344987,5,0.43496136706959626,0.0,0.0,14.98,0.0,deterministic,2.16,-5.68,results/logs/optuna/a2c/a2c_trial_15_seed_42.monitor.csv,1.0,2.16,15.064974921577369,0.14105504587155962,0.06,17.44,15.755102040816327,0.98,results/logs/optuna/a2c/tensorboard,100000,42,0.02
16,COMPLETE,-4.654999999999999,146.920909,2026-09-20T14:25:13.550444,2026-09-20T14:27:40.471353,2.3603965877660855e-07,0.8775608442870982,0.9752268983892107,0.0007362867332958387,0.46982382908242615,20,0.4213476750131491,0.0,0.0,15.0,0.0,deterministic,5.0,-4.654999999999999,results/logs/optuna/a2c/a2c_trial_16_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
17,PRUNED,-91.95,27.505638,2026-09-20T14:27:14.703248,2026-09-20T14:27:42.208886,1.2627873489954756e-07,0.8990313487247942,0.9763661204468728,0.0006298979425039022,0.5051989913473568,20,0.5241808263220633,,,,,,,,,,,,,,,,,,,,
18,PRUNED,-28.95,29.104045,2026-09-20T14:27:31.718442,2026-09-20T14:28:00.822487,1.8332917445463962e-06,0.8931662782951718,0.9791142643232496,0.0009099052372690618,0.4589973081556149,20,0.5652814894766829,,,,,,,,,,,,,,,,,,,,
19,COMPLETE,-1.6049999999999998,163.405869,2026-09-20T14:27:40.670658,2026-09-20T14:30:24.076527,2.26231381146135e-06,0.9002002688114505,0.9812559130976486,0.0013886728056850507,0.7408786867134078,10,0.5599137420730246,0.0,0.0,15.28,0.0,deterministic,5.0,-1.6049999999999998,results/logs/optuna/a2c/a2c_trial_19_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
20,COMPLETE,1.24,177.77343,2026-09-20T14:27:42.400265,2026-09-20T14:30:40.173695,2.5393950862845628e-06,0.9631962717532192,0.9988823490177775,0.0014992466823656365,0.7187088963474314,10,0.602082970934691,0.0,0.0,15.22,0.0,deterministic,2.5,1.24,results/logs/optuna/a2c/a2c_trial_20_seed_42.monitor.csv,1.0,2.5,15.059406173077154,0.1239766081871345,0.04,17.1,15.408163265306122,0.98,results/logs/optuna/a2c/tensorboard,100000,42,0.02
21,COMPLETE,-9.010000000000002,200.348379,2026-09-20T14:28:01.018511,2026-09-20T14:31:21.366890,2.1181269124701116e-06,0.825741994039298,0.999836307620291,0.00028831067359745137,0.7467319756101902,10,0.37344647589657015,0.0,0.0,15.0,0.0,deterministic,5.0,-9.010000000000002,results/logs/optuna/a2c/a2c_trial_21_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
22,PRUNED,-94.75,37.071079,2026-09-20T14:30:24.274766,2026-09-20T14:31:01.345845,4.458515207191231e-08,0.8287317852555911,0.9388748711845861,0.00026807228816139834,0.533042132071058,100,0.3439453244808486,,,,,,,,,,,,,,,,,,,,
23,COMPLETE,-21.419999999999998,185.368976,2026-09-20T14:30:40.365501,2026-09-20T14:33:45.734477,4.483022359346801e-08,0.9657034852269456,0.9878381370338786,0.0015450285064305877,0.8729836070675532,10,0.657637166084865,0.02,0.0,10.3,0.0,deterministic,-99.38,-21.419999999999998,results/logs/optuna/a2c/a2c_trial_23_seed_42.monitor.csv,0.98,-99.38,4.384062043356595,0.8957365124267529,1.0,98.98,,0.0,results/logs/optuna/a2c/tensorboard,100000,42,0.98
24,COMPLETE,-14.825,171.674905,2026-09-20T14:31:01.538065,2026-09-20T14:33:53.212970,1.0501426345342763e-05,0.9706190620512014,0.9973002657231438,0.0015007978683389306,0.3957210945178805,10,0.6451680635310632,0.0,0.0,15.0,0.0,deterministic,4.98,-14.825,results/logs/optuna/a2c/a2c_trial_24_seed_42.monitor.csv,1.0,4.98,0.14142135623730948,0.0013315579227696406,0.0,15.02,15.02,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
25,COMPLETE,-20.03,193.704208,2026-09-20T14:31:21.564977,2026-09-20T14:34:35.269185,2.12493208540523e-05,0.9668792785032512,0.986184862120196,0.0018266276300075899,0.8261293973710522,10,0.6399441257056967,0.0,0.0,15.04,0.0,deterministic,5.0,-20.03,results/logs/optuna/a2c/a2c_trial_25_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/a2c/tensorboard,100000,42,0.0
26,COMPLETE,0.015000000000000213,183.502834,2026-09-20T14:33:45.930248,2026-09-20T14:36:49.433082,7.290331582619774e-07,0.9731142980326569,0.9660321808410625,0.0017022665672309545,0.40823167864258614,10,0.501391519939015,0.0,0.0,15.5,0.0,deterministic,-5.94,0.015000000000000213,results/logs/optuna/a2c/a2c_trial_26_seed_42.monitor.csv,1.0,-5.94,31.756349196431795,0.3993316624895572,0.12,23.94,15.488888888888889,0.9,results/logs/optuna/a2c/tensorboard,100000,42,0.1
27,PRUNED,-16.35,53.270911,2026-09-20T14:33:53.408485,2026-09-20T14:34:46.679396,7.486706426025146e-07,0.9568124323974446,0.9648916894925664,0.0005109486086967501,0.4089008627234022,10,0.7973819581225515,,,,,,,,,,,,,,,,,,,,
28,PRUNED,-1.35,23.120788,2026-09-20T14:34:35.432927,2026-09-20T14:34:58.553715,6.988747552198779e-07,0.9516447234026147,0.9665114235281365,0.0005553533136668305,0.3894770269978481,20,0.5057787272534431,,,,,,,,,,,,,,,,,,,,
