trial,state,step,return_mean
0,COMPLETE,10000,-5.65
0,COMPLETE,20000,-74.35
0,COMPLETE,30000,-8.95
0,COMPLETE,40000,5.0
0,COMPLETE,50000,5.0
0,COMPLETE,60000,5.0
0,COMPLETE,70000,5.0
0,COMPLETE,80000,5.0
0,COMPLETE,90000,5.0
0,COMPLETE,100000,5.0
1,COMPLETE,10000,-10.2
1,COMPLETE,20000,-5.75
1,COMPLETE,30000,-0.25
1,COMPLETE,40000,2.8
1,COMPLETE,50000,4.3
1,COMPLETE,60000,1.9
1,COMPLETE,70000,5.0
1,COMPLETE,80000,5.0
1,COMPLETE,90000,4.55
1,COMPLETE,100000,4.7
2,COMPLETE,10000,-100.0
2,COMPLETE,20000,-51.55
2,COMPLETE,30000,-27.15
2,COMPLETE,40000,-9.5
2,COMPLETE,50000,-6.95
2,COMPLETE,60000,-6.35
2,COMPLETE,70000,0.55
2,COMPLETE,80000,-8.25
2,COMPLETE,90000,-8.3
2,COMPLETE,100000,-15.3
3,COMPLETE,10000,-49.85
3,COMPLETE,20000,4.3
3,COMPLETE,30000,-10.0
3,COMPLETE,40000,4.95
3,COMPLETE,50000,5.0
3,COMPLETE,60000,5.0
3,COMPLETE,70000,5.0
3,COMPLETE,80000,4.8
3,COMPLETE,90000,4.8
3,COMPLETE,100000,4.0
4,COMPLETE,10000,-30.95
4,COMPLETE,20000,5.0
4,COMPLETE,30000,5.0
4,COMPLETE,40000,5.0
4,COMPLETE,50000,5.0
4,COMPLETE,60000,5.0
4,COMPLETE,70000,5.0
4,COMPLETE,80000,5.0
4,COMPLETE,90000,5.0
4,COMPLETE,100000,5.0
5,COMPLETE,10000,-22.55
5,COMPLETE,20000,5.0
5,COMPLETE,30000,5.0
5,COMPLETE,40000,5.0
5,COMPLETE,50000,5.0
5,COMPLETE,60000,5.0
5,COMPLETE,70000,5.0
5,COMPLETE,80000,5.0
5,COMPLETE,90000,5.0
5,COMPLETE,100000,5.0
6,COMPLETE,10000,-9.3
6,COMPLETE,20000,3.4
6,COMPLETE,30000,5.0
6,COMPLETE,40000,5.0
6,COMPLETE,50000,5.0
6,COMPLETE,60000,5.0
6,COMPLETE,70000,5.0
6,COMPLETE,80000,5.0
6,COMPLETE,90000,5.0
6,COMPLETE,100000,5.0
7,PRUNED,10000,-54.95
7,PRUNED,20000,-3.05
8,PRUNED,10000,-87.05
8,PRUNED,20000,-35.4
9,COMPLETE,10000,-31.25
9,COMPLETE,20000,5.0
9,COMPLETE,30000,5.0
9,COMPLETE,40000,5.0
9,COMPLETE,50000,5.0
9,COMPLETE,60000,5.0
9,COMPLETE,70000,5.0
9,COMPLETE,80000,5.0
9,COMPLETE,90000,5.0
9,COMPLETE,100000,5.0
10,COMPLETE,10000,-48.15
10,COMPLETE,20000,4.55
10,COMPLETE,30000,5.0
10,COMPLETE,40000,5.0
10,COMPLETE,50000,5.0
10,COMPLETE,60000,5.0
10,COMPLETE,70000,1.0
10,COMPLETE,80000,5.0
10,COMPLETE,90000,4.6
10,COMPLETE,100000,5.0
11,COMPLETE,10000,4.95
11,COMPLETE,20000,5.0
11,COMPLETE,30000,5.0
11,COMPLETE,40000,4.8
11,COMPLETE,50000,5.0
11,COMPLETE,60000,5.0
11,COMPLETE,70000,5.0
11,COMPLETE,80000,5.0
