number,state,value,duration_seconds,datetime_start,datetime_complete,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_target_update_interval,params_train_freq,user_animal_lost_rate,user_battery_depleted_rate,user_battery_spent_mean,user_effective_barriers_installed_mean,user_eval_mode,user_final_return_mean,user_learning_curve_score,user_monitor,user_pickup_rate,user_return_mean,user_return_std,user_stall_step_rate,user_stalled_episode_rate,user_steps_mean,user_steps_to_success_mean,user_success_rate,user_tensorboard,user_total_timesteps,user_train_seed,user_truncated_rate
0,COMPLETE,-5.3950000000000005,110.473464,2026-09-20T14:13:13.906995,2026-09-20T14:15:04.380459,32,100000,0.05,0.1,0.99,1,0.0001,100,10000,4,0.0,0.0,15.0,0.0,deterministic,5.0,-5.3950000000000005,results/logs/optuna/dqn/dqn_trial_0_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
1,COMPLETE,0.9049999999999997,147.677468,2026-09-20T14:13:40.412743,2026-09-20T14:16:08.090211,64,100000,0.09539049671515958,0.4998140775891578,0.9547174292858196,2,0.0008536123671035461,500,10000,8,0.0,0.0,15.0,0.0,deterministic,5.0,0.9049999999999997,results/logs/optuna/dqn/dqn_trial_1_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
2,COMPLETE,-57.254999999999995,150.152183,2026-09-20T14:13:40.542159,2026-09-20T14:16:10.694342,128,100000,0.07148345608113923,0.47954547064421604,0.9969622366405178,1,6.215199394057784e-05,2000,2000,4,0.72,0.0,15.0,0.0,deterministic,-94.42,-57.254999999999995,results/logs/optuna/dqn/dqn_trial_2_seed_42.monitor.csv,0.0,-94.42,15.426044766655421,0.9777555611097226,1.0,80.02,,0.0,results/logs/optuna/dqn/tensorboard,100000,42,0.28
3,COMPLETE,1.205,208.858662,2026-09-20T14:15:04.520932,2026-09-20T14:18:33.379594,128,10000,0.19428287191077892,0.0592630224331111,0.970736450521825,4,8.468008575248323e-05,100,250,8,0.0,0.0,15.0,0.0,deterministic,4.6,1.205,results/logs/optuna/dqn/dqn_trial_3_seed_42.monitor.csv,1.0,4.6,1.2121830534626528,0.025974025974025976,0.0,15.4,15.4,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
4,COMPLETE,4.8549999999999995,210.72732,2026-09-20T14:16:08.303361,2026-09-20T14:19:39.030681,128,100000,0.10334385654593989,0.2551565245653914,0.9574436723007514,2,0.0015568558349359442,100,500,4,0.0,0.0,15.0,0.0,deterministic,5.0,4.8549999999999995,results/logs/optuna/dqn/dqn_trial_4_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
5,COMPLETE,4.7299999999999995,214.164533,2026-09-20T14:16:10.834851,2026-09-20T14:19:44.999384,128,25000,0.09569054372800267,0.20345924281687067,0.9743506710075492,4,0.0004196806300892122,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,4.7299999999999995,results/logs/optuna/dqn/dqn_trial_5_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
6,PRUNED,-6.35,67.696938,2026-09-20T14:18:33.601802,2026-09-20T14:19:41.298740,32,100000,0.03318726462050798,0.2480686221828206,0.9683548793485645,2,1.3033567475147436e-05,500,1000,16,,,,,,,,,,,,,,,,,,,,
7,COMPLETE,-2.755,123.495015,2026-09-20T14:19:39.226394,2026-09-20T14:21:42.721409,256,25000,0.15179294694902296,0.2573965583028244,0.9055778037183954,2,0.002864252722173305,1000,500,16,0.0,0.0,15.0,0.0,deterministic,5.0,-2.755,results/logs/optuna/dqn/dqn_trial_7_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
8,COMPLETE,3.65,808.804954,2026-09-20T14:19:41.489364,2026-09-20T14:33:10.294318,256,50000,0.14114694397813757,0.30452589080663145,0.9056419274050256,2,0.0025258910682419574,1000,500,1,0.0,0.0,15.0,0.0,deterministic,5.0,3.65,results/logs/optuna/dqn/dqn_trial_8_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
9,PRUNED,3.9,149.767473,2026-09-20T14:19:45.200705,2026-09-20T14:22:14.968178,256,50000,0.15712033365492137,0.3567851814098987,0.9108787513668263,2,0.002785759463605888,100,500,1,,,,,,,,,,,,,,,,,,,,
10,PRUNED,-31.55,147.801338,2026-09-20T14:21:42.917527,2026-09-20T14:24:10.718865,256,50000,0.13395354582291225,0.3833822522893931,0.9336308353481996,2,1.0249638865891875e-05,100,500,1,,,,,,,,,,,,,,,,,,,,
11,PRUNED,-47.35,42.742204,2026-09-20T14:22:15.164158,2026-09-20T14:22:57.906362,64,10000,0.013397048930171976,0.37711513801020213,0.9340891976842205,2,1.0922834389511516e-05,2000,500,4,,,,,,,,,,,,,,,,,,,,
12,COMPLETE,4.075,351.538159,2026-09-20T14:22:58.036581,2026-09-20T14:28:49.574740,128,50000,0.13144212546976644,0.15187724770494404,0.936032633198646,1,0.0002984996429564142,100,2000,1,0.0,0.0,15.0,0.0,deterministic,5.0,4.075,results/logs/optuna/dqn/dqn_trial_12_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
13,COMPLETE,5.0,197.269898,2026-09-20T14:24:10.928283,2026-09-20T14:27:28.198181,128,25000,0.10424405404408396,0.187044762174558,0.9570535113623198,4,0.0005727088636734919,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,5.0,results/logs/optuna/dqn/dqn_trial_13_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
14,COMPLETE,4.805,343.591398,2026-09-20T14:27:28.388376,2026-09-20T14:33:11.979774,128,25000,0.1106116501778711,0.15285241406988537,0.9449810297571501,4,0.0007459798846855273,1000,5000,4,0.0,0.0,27.54,0.78,deterministic,1.2,4.805,results/logs/optuna/dqn/dqn_trial_14_seed_42.monitor.csv,1.0,1.2,26.054103832805538,0.27906976744186046,0.08,21.5,16.48936170212766,0.94,results/logs/optuna/dqn/tensorboard,100000,42,0.06
15,COMPLETE,5.625,317.409591,2026-09-20T14:28:49.829799,2026-09-20T14:34:07.239390,128,25000,0.09825823274170466,0.29608526136662955,0.9517871551576235,4,0.0010132801757714374,1000,5000,4,0.0,0.0,31.3,0.98,deterministic,5.0,5.625,results/logs/optuna/dqn/dqn_trial_15_seed_42.monitor.csv,1.0,5.0,15.89634793123944,0.18256410256410258,0.1,19.5,17.857142857142858,0.98,results/logs/optuna/dqn/tensorboard,100000,42,0.02
16,COMPLETE,4.965,230.147249,2026-09-20T14:33:10.490499,2026-09-20T14:37:00.637748,128,25000,0.10815343805882734,0.16802212046600926,0.9535088639771454,4,0.0008261489863840909,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,4.965,results/logs/optuna/dqn/dqn_trial_16_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
17,COMPLETE,5.0,179.672123,2026-09-20T14:33:12.173783,2026-09-20T14:36:11.845906,128,25000,0.07278862109870017,0.19006115622429748,0.9556207196140173,4,0.0010602251699922572,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,5.0,results/logs/optuna/dqn/dqn_trial_17_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
18,COMPLETE,-4.359999999999999,200.087506,2026-09-20T14:34:07.437182,2026-09-20T14:37:27.524688,128,25000,0.07596675756964699,0.20108704112307077,0.9194736472104638,4,0.00019535495854229934,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,-4.359999999999999,results/logs/optuna/dqn/dqn_trial_18_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
19,COMPLETE,1.2899999999999998,149.396104,2026-09-20T14:36:12.039633,2026-09-20T14:38:41.435737,128,25000,0.07096616706362782,0.32553358157404066,0.9223631177554902,4,0.00028444658742611274,1000,5000,8,0.0,0.0,15.0,0.0,deterministic,5.0,1.2899999999999998,results/logs/optuna/dqn/dqn_trial_19_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/dqn/tensorboard,100000,42,0.0
20,PRUNED,1.5,23.008952,2026-09-20T14:37:00.838924,2026-09-20T14:37:23.847876,32,25000,0.17867811308251025,0.3153040273632388,0.922486729642586,4,0.00022310825027442355,1000,5000,16,,,,,,,,,,,,,,,,,,,,
