trial,state,step,return_mean
0,COMPLETE,10000,-96.45
0,COMPLETE,20000,-26.35
0,COMPLETE,30000,4.9
0,COMPLETE,40000,4.9
0,COMPLETE,50000,5.0
0,COMPLETE,60000,5.0
0,COMPLETE,70000,4.9
0,COMPLETE,80000,5.0
0,COMPLETE,90000,5.0
0,COMPLETE,100000,5.0
1,COMPLETE,10000,-100.0
1,COMPLETE,20000,-100.0
1,COMPLETE,30000,-100.0
1,COMPLETE,40000,-100.0
1,COMPLETE,50000,-73.0
1,COMPLETE,60000,-22.3
1,COMPLETE,70000,-18.15
1,COMPLETE,80000,-9.45
1,COMPLETE,90000,-64.15
1,COMPLETE,100000,-100.0
2,COMPLETE,10000,-100.0
2,COMPLETE,20000,-100.0
2,COMPLETE,30000,-100.0
2,COMPLETE,40000,-100.0
2,COMPLETE,50000,-100.0
2,COMPLETE,60000,-100.0
2,COMPLETE,70000,2.05
2,COMPLETE,80000,1.9
2,COMPLETE,90000,-100.0
2,COMPLETE,100000,-100.0
3,COMPLETE,10000,-100.0
3,COMPLETE,20000,-100.0
3,COMPLETE,30000,-100.0
3,COMPLETE,40000,-100.0
3,COMPLETE,50000,-40.15
3,COMPLETE,60000,-20.35
3,COMPLETE,70000,-27.45
3,COMPLETE,80000,-24.65
3,COMPLETE,90000,-22.0
3,COMPLETE,100000,-35.85
4,COMPLETE,10000,-100.0
4,COMPLETE,20000,-100.0
4,COMPLETE,30000,-100.0
4,COMPLETE,40000,-98.3
4,COMPLETE,50000,-100.0
4,COMPLETE,60000,-43.7
4,COMPLETE,70000,-31.6
4,COMPLETE,80000,-34.5
4,COMPLETE,90000,-79.0
4,COMPLETE,100000,-100.0
5,COMPLETE,10000,-42.9
5,COMPLETE,20000,5.0
5,COMPLETE,30000,-30.05
5,COMPLETE,40000,4.8
5,COMPLETE,50000,-92.6
5,COMPLETE,60000,-6.55
5,COMPLETE,70000,5.0
5,COMPLETE,80000,5.0
5,COMPLETE,90000,5.0
5,COMPLETE,100000,4.25
6,COMPLETE,10000,-100.0
6,COMPLETE,20000,4.55
6,COMPLETE,30000,1.55
6,COMPLETE,40000,5.0
6,COMPLETE,50000,4.4
6,COMPLETE,60000,5.0
6,COMPLETE,70000,5.0
6,COMPLETE,80000,5.0
6,COMPLETE,90000,-1.65
6,COMPLETE,100000,3.2
7,COMPLETE,10000,2.4
7,COMPLETE,20000,1.35
7,COMPLETE,30000,5.0
7,COMPLETE,40000,5.0
7,COMPLETE,50000,2.85
7,COMPLETE,60000,4.9
7,COMPLETE,70000,-5.25
7,COMPLETE,80000,-1.05
7,COMPLETE,90000,-0.25
7,COMPLETE,100000,5.0
8,PRUNED,10000,-100.0
8,PRUNED,20000,-100.0
9,COMPLETE,10000,-79.6
9,COMPLETE,20000,-1.4
9,COMPLETE,30000,5.0
9,COMPLETE,40000,4.8
9,COMPLETE,50000,-7.0
9,COMPLETE,60000,4.95
9,COMPLETE,70000,3.4
9,COMPLETE,80000,-2.3
9,COMPLETE,90000,-30.1
9,COMPLETE,100000,4.65
10,PRUNED,10000,-72.3
10,PRUNED,20000,-98.05
11,PRUNED,10000,-2.3
11,PRUNED,20000,-1.35
11,PRUNED,30000,-2.2
11,PRUNED,40000,0.05
12,COMPLETE,10000,-100.0
12,COMPLETE,20000,5.0
12,COMPLETE,30000,5.0
12,COMPLETE,40000,-1.65
12,COMPLETE,50000,5.0
12,COMPLETE,60000,-2.85
12,COMPLETE,70000,-0.55
12,COMPLETE,80000,5.0
12,COMPLETE,90000,0.5
12,COMPLETE,100000,4.55
13,COMPLETE,10000,-8.95
13,COMPLETE,20000,0.85
13,COMPLETE,30000,5.0
13,COMPLETE,40000,5.0
13,COMPLETE,50000,5.0
13,COMPLETE,60000,5.0
13,COMPLETE,70000,5.0
13,COMPLETE,80000,5.0
13,COMPLETE,90000,5.0
13,COMPLETE,100000,-2.05
14,PRUNED,10000,-100.0
14,PRUNED,20000,-50.05
15,COMPLETE,10000,5.0
15,COMPLETE,20000,5.0
15,COMPLETE,30000,5.0
15,COMPLETE,40000,0.0
15,COMPLETE,50000,4.25
15,COMPLETE,60000,5.0
15,COMPLETE,70000,5.0
15,COMPLETE,80000,5.0
15,COMPLETE,90000,-25.35
15,COMPLETE,100000,4.8
16,PRUNED,10000,-100.0
16,PRUNED,20000,-63.3
17,PRUNED,10000,-23.35
17,PRUNED,20000,-100.0
18,PRUNED,10000,-100.0
18,PRUNED,20000,-1.0
19,PRUNED,10000,-12.25
19,PRUNED,20000,-100.0
20,COMPLETE,10000,4.6
20,COMPLETE,20000,5.0
20,COMPLETE,30000,4.55
20,COMPLETE,40000,-0.25
20,COMPLETE,50000,1.9
20,COMPLETE,60000,5.0
20,COMPLETE,70000,5.0
20,COMPLETE,80000,-3.7
20,COMPLETE,90000,4.45
20,COMPLETE,100000,1.35
21,COMPLETE,10000,-100.0
21,COMPLETE,20000,4.05
21,COMPLETE,30000,4.8
21,COMPLETE,40000,4.8
21,COMPLETE,50000,5.0
21,COMPLETE,60000,4.7
21,COMPLETE,70000,-13.9
21,COMPLETE,80000,5.0
21,COMPLETE,90000,4.95
21,COMPLETE,100000,5.0
22,COMPLETE,10000,5.0
22,COMPLETE,20000,4.45
22,COMPLETE,30000,5.0
22,COMPLETE,40000,-13.6
22,COMPLETE,50000,5.0
22,COMPLETE,60000,3.4
22,COMPLETE,70000,-24.6
22,COMPLETE,80000,5.0
22,COMPLETE,90000,-0.55
22,COMPLETE,100000,-44.5
23,PRUNED,10000,-56.25
23,PRUNED,20000,-100.0
24,PRUNED,10000,-36.3
24,PRUNED,20000,-0.1
25,COMPLETE,10000,-4.9
25,COMPLETE,20000,5.0
25,COMPLETE,30000,5.0
25,COMPLETE,40000,5.0
25,COMPLETE,50000,5.0
25,COMPLETE,60000,-6.3
25,COMPLETE,70000,5.0
25,COMPLETE,80000,5.0
25,COMPLETE,90000,5.0
25,COMPLETE,100000,5.0
26,PRUNED,10000,0.85
26,PRUNED,20000,-0.5
27,PRUNED,10000,-100.0
27,PRUNED,20000,-78.65
28,COMPLETE,10000,5.0
28,COMPLETE,20000,5.0
28,COMPLETE,30000,2.45
28,COMPLETE,40000,4.7
28,COMPLETE,50000,-92.6
28,COMPLETE,60000,5.0
28,COMPLETE,70000,5.0
28,COMPLETE,80000,5.0
28,COMPLETE,90000,5.0
28,COMPLETE,100000,5.0
29,COMPLETE,10000,-84.05
29,COMPLETE,20000,5.0
29,COMPLETE,30000,5.0
29,COMPLETE,40000,5.0
29,COMPLETE,50000,5.0
29,COMPLETE,60000,5.0
29,COMPLETE,70000,5.0
29,COMPLETE,80000,5.0
29,COMPLETE,90000,4.95
29,COMPLETE,100000,4.95
