number,state,value,duration_seconds,datetime_start,datetime_complete,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_animal_lost_rate,user_battery_depleted_rate,user_battery_spent_mean,user_effective_barriers_installed_mean,user_eval_mode,user_final_return_mean,user_learning_curve_score,user_monitor,user_pickup_rate,user_return_mean,user_return_std,user_stall_step_rate,user_stalled_episode_rate,user_steps_mean,user_steps_to_success_mean,user_success_rate,user_tensorboard,user_total_timesteps,user_train_seed,user_truncated_rate
0,COMPLETE,-8.310000000000002,81.762766,2026-09-20T17:33:19.742196,2026-09-20T17:34:41.504962,64,0.2,1e-08,0.95,0.99,0.0003,10,2048,0.5,0.0,0.0,15.0,0.0,deterministic,5.0,-8.310000000000002,results/logs/optuna/ppo/ppo_trial_0_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
1,COMPLETE,-68.705,67.608084,2026-09-20T17:34:41.651934,2026-09-20T17:35:49.260018,32,0.2574269294896714,7.82684482178565e-06,0.8608484485919076,0.9183221105343581,1.3927723945289003e-05,3,128,0.4684218551485314,0.0,0.0,10.72,0.0,deterministic,-100.0,-68.705,results/logs/optuna/ppo/ppo_trial_1_seed_42.monitor.csv,1.0,-100.0,0.0,0.9068,1.0,100.0,,0.0,results/logs/optuna/ppo/tensorboard,100000,42,1.0
2,COMPLETE,-79.60499999999999,73.604685,2026-09-20T17:35:49.402111,2026-09-20T17:37:03.006796,256,0.12930163420191518,0.0003834038950168496,0.8609227538346742,0.9807588950768344,3.12331775337643e-05,20,2048,0.5801143703047009,0.0,0.0,14.96,0.0,deterministic,-18.84,-79.60499999999999,results/logs/optuna/ppo/ppo_trial_2_seed_42.monitor.csv,1.0,-18.84,39.79250262682812,0.583427922814983,0.38,35.24,21.024390243902438,0.82,results/logs/optuna/ppo/tensorboard,100000,42,0.18
3,COMPLETE,-57.045,62.203978,2026-09-20T17:37:03.104837,2026-09-20T17:38:05.308815,256,0.15879485872574356,2.0089829538440728e-08,0.8176985004103839,0.9920952360788093,5.917607170144197e-05,5,512,0.49399774807244823,0.0,0.0,14.56,0.0,deterministic,-43.6,-57.045,results/logs/optuna/ppo/ppo_trial_3_seed_42.monitor.csv,1.0,-43.6,47.47330076700256,0.7471428571428571,0.6,56.0,29.032258064516128,0.62,results/logs/optuna/ppo/tensorboard,100000,42,0.38
4,COMPLETE,-78.71000000000001,74.224887,2026-09-20T17:38:05.495309,2026-09-20T17:39:19.720196,128,0.12221339552022711,2.5197135015804526e-06,0.9542540693371891,0.9728278160872946,2.2340165853190065e-05,10,256,0.3369017946438473,0.0,0.0,10.72,0.0,deterministic,-100.0,-78.71000000000001,results/logs/optuna/ppo/ppo_trial_4_seed_42.monitor.csv,1.0,-100.0,0.0,0.9068,1.0,100.0,,0.0,results/logs/optuna/ppo/tensorboard,100000,42,1.0
5,COMPLETE,-14.304999999999998,86.750126,2026-09-20T17:39:19.825161,2026-09-20T17:40:46.575287,64,0.3879312237836261,0.021965229660386658,0.9815329590565035,0.9034183891598528,0.0015295783123993776,10,2048,0.9602214072926121,0.0,0.0,18.5,0.0,deterministic,4.62,-14.304999999999998,results/logs/optuna/ppo/ppo_trial_5_seed_42.monitor.csv,1.0,4.62,1.4553209899102912,0.0,0.0,15.38,15.38,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
6,COMPLETE,-6.795,83.7508,2026-09-20T17:40:46.714860,2026-09-20T17:42:10.465660,64,0.284652468649076,1.2700129364664616e-08,0.9272554311950136,0.9433921915484655,0.0006018874855681132,10,64,0.8257194982755935,0.0,0.0,15.0,0.0,deterministic,3.98,-6.795,results/logs/optuna/ppo/ppo_trial_6_seed_42.monitor.csv,1.0,3.98,4.497119259331806,0.06367041198501873,0.02,16.02,16.02,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
7,COMPLETE,1.9949999999999999,82.614035,2026-09-20T17:42:10.595519,2026-09-20T17:43:33.209554,64,0.35936047922229103,0.03538902716613238,0.8992082624339429,0.9468236513668955,0.0018947668158759096,5,64,0.9907473374767299,0.0,0.0,15.38,0.0,deterministic,0.72,1.9949999999999999,results/logs/optuna/ppo/ppo_trial_7_seed_42.monitor.csv,1.0,0.72,20.77581010969935,0.19805194805194806,0.04,18.48,15.083333333333334,0.96,results/logs/optuna/ppo/tensorboard,100000,42,0.04
8,PRUNED,-100.0,15.565769,2026-09-20T17:43:33.366881,2026-09-20T17:43:48.932650,32,0.39844396112445113,0.043848312949312435,0.8993793326157814,0.9522403449124994,0.00013214417231006078,5,1024,0.7335052639510643,,,,,,,,,,,,,,,,,,,,
9,COMPLETE,-9.76,88.127977,2026-09-20T17:43:49.062555,2026-09-20T17:45:17.190532,128,0.3230552449327614,0.00041365110278914396,0.8072475376239795,0.9387152386551003,0.0024618361473834026,5,64,0.9086320859635892,0.0,0.0,15.0,0.0,deterministic,4.84,-9.76,results/logs/optuna/ppo/ppo_trial_9_seed_42.monitor.csv,1.0,4.84,1.1313708498984758,0.010554089709762533,0.0,15.16,15.16,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
10,PRUNED,-98.05,13.699637,2026-09-20T17:45:17.302682,2026-09-20T17:45:31.002319,64,0.21726390650700445,8.24223139972409e-07,0.9965372313555609,0.9639787430618149,0.0005779935953526901,3,64,0.686883161683025,,,,,,,,,,,,,,,,,,,,
11,PRUNED,0.05,35.525616,2026-09-20T17:45:31.100313,2026-09-20T17:46:06.625929,64,0.31658364416821094,0.00029808679296288766,0.9091445407185784,0.938574511620121,0.0007163218329079186,20,64,0.8397043336063718,,,,,,,,,,,,,,,,,,,,
12,COMPLETE,-8.000000000000002,67.664853,2026-09-20T17:46:06.724977,2026-09-20T17:47:14.389830,64,0.32005615488943207,2.0361307319888013e-05,0.9080190040227188,0.9390689762951294,0.0010491695027671395,5,64,0.9974147989110462,0.0,0.0,15.02,0.0,deterministic,2.4,-8.000000000000002,results/logs/optuna/ppo/ppo_trial_12_seed_42.monitor.csv,1.0,2.4,14.97208286465589,0.12906976744186047,0.04,17.2,15.510204081632653,0.98,results/logs/optuna/ppo/tensorboard,100000,42,0.02
13,COMPLETE,2.485,86.988082,2026-09-20T17:47:14.531206,2026-09-20T17:48:41.519288,64,0.27312138180958545,1.5798947274267393e-07,0.9323372983261562,0.9511960733475707,0.0002842953385302732,10,64,0.8368979234252054,0.0,0.0,15.18,0.0,deterministic,1.82,2.485,results/logs/optuna/ppo/ppo_trial_13_seed_42.monitor.csv,1.0,1.82,15.361879668151794,0.15748031496062992,0.08,17.78,16.102040816326532,0.98,results/logs/optuna/ppo/tensorboard,100000,42,0.02
14,PRUNED,-50.05,14.519124,2026-09-20T17:48:41.666441,2026-09-20T17:48:56.185565,64,0.3577594191152488,1.4231312150428464e-07,0.8680387700864799,0.957323204060684,0.00023552692959811822,10,1024,0.8247851063754383,,,,,,,,,,,,,,,,,,,,
15,COMPLETE,1.3699999999999999,74.346342,2026-09-20T17:48:56.330415,2026-09-20T17:50:10.676757,64,0.2561697894671501,0.007065695838996776,0.8818002142140647,0.9197445986757777,0.002910154770912036,5,256,0.7403672998712398,0.0,0.0,18.98,0.04,deterministic,-5.4,1.3699999999999999,results/logs/optuna/ppo/ppo_trial_15_seed_42.monitor.csv,1.0,-5.4,31.197854452653946,0.338135593220339,0.1,23.6,15.11111111111111,0.9,results/logs/optuna/ppo/tensorboard,100000,42,0.1
16,PRUNED,-63.3,31.119961,2026-09-20T17:50:10.818140,2026-09-20T17:50:41.938101,32,0.3652517362808211,4.671658010313622e-05,0.9404496764045546,0.9239881217957254,7.69590364143654e-05,20,128,0.9089702549372748,,,,,,,,,,,,,,,,,,,,
17,PRUNED,-100.0,13.679702,2026-09-20T17:50:42.037093,2026-09-20T17:50:55.716795,256,0.26871338511797443,0.0018101206407801036,0.8317239949354077,0.9659721878660377,0.0002957832127490669,10,512,0.6779499662227454,,,,,,,,,,,,,,,,,,,,
18,PRUNED,-1.0,14.642299,2026-09-20T17:50:55.813532,2026-09-20T17:51:10.455831,128,0.211968937878938,1.1237619956638046e-07,0.9254503023249996,0.9513883240611886,0.0015978614310222378,3,64,0.8969689999915826,,,,,,,,,,,,,,,,,,,,
19,PRUNED,-100.0,15.625935,2026-09-20T17:51:10.574895,2026-09-20T17:51:26.200830,64,0.34913589905508013,8.592117674647164e-05,0.8864938642492459,0.9282165257173045,0.0001533726343184359,5,64,0.9874893393017202,,,,,,,,,,,,,,,,,,,,
20,COMPLETE,2.79,87.523877,2026-09-20T17:51:26.310124,2026-09-20T17:52:53.834001,64,0.29183183943611923,7.80820946768257e-07,0.9658377038077302,0.9094930165618508,0.0005126477959101079,10,64,0.28051830253740645,0.0,0.0,15.0,0.0,deterministic,2.94,2.79,results/logs/optuna/ppo/ppo_trial_20_seed_42.monitor.csv,1.0,2.94,11.08116622463354,0.12075029308323564,0.04,17.06,17.06,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
21,COMPLETE,-7.5600000000000005,84.49295,2026-09-20T17:52:53.956638,2026-09-20T17:54:18.449588,64,0.2888448450914691,3.1093175183985656e-07,0.9634413126689754,0.913309498668078,0.0004068767156123797,10,64,0.3040845016520908,0.0,0.0,15.0,0.0,deterministic,5.0,-7.5600000000000005,results/logs/optuna/ppo/ppo_trial_21_seed_42.monitor.csv,1.0,5.0,0.0,0.0,0.0,15.0,15.0,1.0,results/logs/optuna/ppo/tensorboard,100000,42,0.0
22,COMPLETE,-5.540000000000001,86.520319,2026-09-20T17:54:18.590912,2026-09-20T17:55:45.111231,64,0.237086450388688,2.004994895876474e-06,0.9720535668982783,0.9000735515644691,0.0010830096511763448,10,64,0.3970028018544138,0.0,0.0,16.26,0.0,deterministic,-36.54,-5.540000000000001,results/logs/optuna/ppo/ppo_trial_22_seed_42.monitor.csv,1.0,-36.54,38.331108483202264,0.7259373792037108,0.76,51.74,36.5,0.76,results/logs/optuna/ppo/tensorboard,100000,42,0.24
23,PRUNED,-100.0,25.737515,2026-09-20T17:55:45.227566,2026-09-20T17:56:10.965081,64,0.28768758088050395,5.6357465709738494e-08,0.9343469630588487,0.9321007780630564,0.0001562307038899053,10,64,0.6094363834364442,,,,,,,,,,,,,,,,,,,,
24,PRUNED,-0.1,14.76766,2026-09-20T17:56:11.069327,2026-09-20T17:56:25.836987,64,0.3320287309575688,4.72069949478388e-07,0.9924750963021022,0.9100645558967863,0.0004533526497531835,10,64,0.25887658231803495,,,,,,,,,,,,,,,,,,,,
